date,country,location,number,description,line
01/30/2015,Iraq,Al Asad,1,airstrike struck an ISIL firing position.,"- Near Al Asad, an airstrike struck an ISIL firing position."
01/30/2015,Iraq,Tal Afar,3,"airstrikes struck two ISIL fighting positions and destroyed an ISIL building, an ISIL bunker and an ISIL shipping container.","- Near Tal Afar, three airstrikes struck two ISIL fighting positions and destroyed an ISIL building, an ISIL bunker and an ISIL shipping container."
01/29/2015,Syria,Kobani,5,"airstrikes struck an ISIL fighting position, three ISIL tactical units, and a large ISIL unit.","- Near Kobani, five airstrikes struck an ISIL fighting position, three ISIL tactical units, and a large ISIL unit."
01/29/2015,Syria,Dayr az Zawr,1,airstrike destroyed an ISIL crude oil collection point.,"- Near Dayr az Zawr, an airstrike destroyed an ISIL crude oil collection point."
01/29/2015,Iraq,Al Asad,1,airstrike struck an ISIL tactical unit.,"- Near Al Asad, an airstrike struck an ISIL tactical unit."
01/29/2015,Iraq,Ar Rutbah,1,airstrike struck an ISIL tactical unit.,"- Near Ar Rutbah, an airstrike struck an ISIL tactical unit."
01/29/2015,Iraq,Mosul,1,airstrike destroyed an ISIL weapons storage facility.,"- Near Mosul, an airstrike destroyed an ISIL weapons storage facility."
01/29/2015,Iraq,Sinjar,5,"airstrikes struck a large ISIL unit and destroyed 21 ISIL vehicles, four ISIL buildings, an ISIL shipping container, an ISIL modular structure, and an ISIL armored vehicle.","- Near Sinjar, five airstrikes struck a large ISIL unit and destroyed 21 ISIL vehicles, four ISIL buildings, an ISIL shipping container, an ISIL modular structure, and an ISIL armored vehicle."
01/29/2015,Iraq,Tal Afar,4,"airstrikes struck two large ISIL units and an ISIL tactical unit and destroyed an ISIL bunker, an ISIL armored vehicle, an ISIL bulldozer, three ISIL fighting positions, an ISIL building, and an ISIL VBIED.","- Near Tal Afar, four airstrikes struck two large ISIL units and an ISIL tactical unit and destroyed an ISIL bunker, an ISIL armored vehicle, an ISIL bulldozer, three ISIL fighting positions, an ISIL building, and an ISIL VBIED."
01/28/2015,Syria,Kobani,13,"airstrikes struck 12 ISIL tactical units and an ISIL vehicle, and destroyed nine ISIL fighting positions, an ISIL staging area, and three ISIL buildings.","- Near Kobani, 13 airstrikes struck 12 ISIL tactical units and an ISIL vehicle, and destroyed nine ISIL fighting positions, an ISIL staging area, and three ISIL buildings."
01/28/2015,Iraq,Al Asad,1,airstrike struck an ISIL tactical unit and destroyed two ISIL buildings.,"- Near Al Asad, an airstrike struck an ISIL tactical unit and destroyed two ISIL buildings."
01/28/2015,Iraq,Kirkuk,1,airstrike struck an ISIL tactical unit.,"- Near Kirkuk, an airstrike struck an ISIL tactical unit."
01/28/2015,Iraq,Mosul,2,"airstrikes destroyed an ISIL checkpoint, six ISIL shipping containers, and four ISIL fighting positions.","- Near Mosul, two airstrikes destroyed an ISIL checkpoint, six ISIL shipping containers, and four ISIL fighting positions."
01/28/2015,Iraq,Sinjar,1,airstrike struck a large ISIL unit and destroyed six ISIL buildings and an ISIL heavy weapon.,"- Near Sinjar, an airstrike struck a large ISIL unit and destroyed six ISIL buildings and an ISIL heavy weapon."
01/28/2015,Iraq,Tal Afar,1,airstrike struck a large ISIL unit and destroyed four ISIL vehicles.,"- Near Tal Afar, an airstrike struck a large ISIL unit and destroyed four ISIL vehicles."
01/26/2015,Syria,Al Qaim,1,airstrike destroyed three ISIL armored vehicles.,"- Near Al Qaim, an airstrike destroyed three ISIL armored vehicles."
01/26/2015,Syria,Ar Raqqah,2,airstrikes destroyed six ISIL armored vehicles and an ISIL vehicle.,"- Near Ar Raqqah, two airstrikes destroyed six ISIL armored vehicles and an ISIL vehicle."
01/26/2015,Syria,Dayr az Zawr,1,airstrike destroyed an ISIL armored vehicle.,"- Near Dayr az Zawr, an airstrike destroyed an ISIL armored vehicle."
01/26/2015,Syria,Kobani,17,"airstrikes struck 14 ISIL tactical units, a large ISIL unit, and two ISIL fighting positions, and destroyed six ISIL fighting positions, an ISIL vehicle, and an ISIL staging area.","- Near Kobani, 17 airstrikes struck 14 ISIL tactical units, a large ISIL unit, and two ISIL fighting positions, and destroyed six ISIL fighting positions, an ISIL vehicle, and an ISIL staging area."
01/26/2015,Iraq,Fallujah,1,airstrike destroyed an ISIL excavator.,"- Near Fallujah, an airstrike destroyed an ISIL excavator."
01/26/2015,Iraq,Haditha,1,airstrike struck an ISIL tactical unit.,"- Near Haditha, an airstrike struck an ISIL tactical unit."
01/26/2015,Iraq,Mosul,4,"airstrikes struck two ISIL tactical units and destroyed three ISIL bunkers, two ISIL vehicles, and an ISIL armored vehicle.","- Near Mosul, four airstrikes struck two ISIL tactical units and destroyed three ISIL bunkers, two ISIL vehicles, and an ISIL armored vehicle."
01/26/2015,Iraq,Tal Afar,7,"airstrikes struck a large ISIL unit and destroyed three ISIL mortar firing positions, three ISIL VBIEDs, eight ISIL armored vehicles, an ISIL checkpoint, 15 ISIL vehicles, and three ISIL fighting positions.","- Near Tal Afar, seven airstrikes struck a large ISIL unit and destroyed three ISIL mortar firing positions, three ISIL VBIEDs, eight ISIL armored vehicles, an ISIL checkpoint, 15 ISIL vehicles, and three ISIL fighting positions."
01/24/2015,Syria,Kobani,12,"airstrikes struck eight ISIL tactical units and a large ISIL unit and destroyed an ISIL vehicle, an ISIL building, and eight ISIL fighting positions.","- Near Kobani, 12 airstrikes struck eight ISIL tactical units and a large ISIL unit and destroyed an ISIL vehicle, an ISIL building, and eight ISIL fighting positions."
01/24/2015,Syria,Al Hasakah,1,airstrike destroyed an ISIL mobile oil drilling rig.,"- Near Al Hasakah, an airstrike destroyed an ISIL mobile oil drilling rig."
01/24/2015,Iraq,Al Qaim,1,airstrike destroyed an ISIL weapons production facility.,"- Near Al Qaim, an airstrike destroyed an ISIL weapons production facility."
01/24/2015,Iraq,Mosul,5,"airstrikes struck two large ISIL units, an ISIL choke point, an ISIL culvert, and four ISIL roads, and destroyed an ISIL culvert and an ISIL vehicle.","- Near Mosul, five airstrikes struck two large ISIL units, an ISIL choke point, an ISIL culvert, and four ISIL roads, and destroyed an ISIL culvert and an ISIL vehicle."
